Case ID,Study ID,Authors,Year,Journal,Journal IF,Source of data,Biome,Plant species,Plant type,Duration,Inductor organism,Inductor species,Inductor order,Weeks after induction,Herbivore stage inductor,Herbivore guild inductor,Herbivore specialization inductor,Pathway,Type of study,Type of interaction,Tissue induced,Tissue consumed,Insect response type,Organism,Herbivore species,Order,Herbivore stage,Herbivore guild,Herbivore specialization,Consp.heterosp,Mult.comp,M.control,SD.control,N.control,M.treatment,SD.treatment,N.treatment,Author,notes
206,39,Pashalidou et al ,2015,Ecologica ,1.687,figure 1,temperate,brassica oleracea,herbaceous,perennial,herbivore,Pieris brassicae,Lepidoptera,2,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Pieris brassicae,Lepidoptera,young,chewer,specialist,C,206,318.75,2.083,15,285.417,2.083,15,Pashalidou,
207,39,Pashalidou et al ,2015,Ecologica ,1.687,figure 1,temperate,brassica oleracea,herbaceous,perennial,herbivore,Pieris brassicae,Lepidoptera,2,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Pieris brassicae,Lepidoptera,young,chewer,specialist,C,207,34.426,0.464,15,35.574,0.328,15,Pashalidou,
208,39,Pashalidou et al ,2015,Ecologica ,1.687,figure 1,temperate,Moricandia arvensis,herbaceous,annual,herbivore,Pieris brassicae,Lepidoptera,2,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Pieris brassicae,Lepidoptera,young,chewer,specialist,C,208,3.581,0.129,16,3.355,0.129,16,Pashalidou,
209,39,Pashalidou et al ,2015,Ecologica ,1.687,figure 1,temperate,Moricandia arvensis,herbaceous,annual,herbivore,Pieris brassicae,Lepidoptera,2,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Pieris brassicae,Lepidoptera,young,chewer,specialist,C,209,387.5,19.167,16,385.417,21.667,16,Pashalidou,
210,39,Pashalidou et al ,2015,Ecologica ,1.687,figure 1,temperate,Moricandia arvensis,herbaceous,annual,herbivore,Pieris brassicae,Lepidoptera,2,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Pieris brassicae,Lepidoptera,young,chewer,specialist,C,210,35.41,0.464,16,36.066,0.464,16,Pashalidou,
211,39,Pashalidou et al ,2015,Ecologica ,1.687,figure 1,temperate,Moricandia moricandioides,herbaceous,annual,herbivore,Pieris brassicae,Lepidoptera,2,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Pieris brassicae,Lepidoptera,young,chewer,specialist,C,211,6.548,0.144,15,5.323,0.161,15,Pashalidou,
212,39,Pashalidou et al ,2015,Ecologica ,1.687,figure 1,temperate,Moricandia moricandioides,herbaceous,annual,herbivore,Pieris brassicae,Lepidoptera,2,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Pieris brassicae,Lepidoptera,young,chewer,specialist,C,212,354.167,10.417,15,356.25,10.417,15,Pashalidou,
213,39,Pashalidou et al ,2015,Ecologica ,1.687,figure 1,temperate,Moricandia moricandioides,herbaceous,annual,herbivore,Pieris brassicae,Lepidoptera,2,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Pieris brassicae,Lepidoptera,young,chewer,specialist,C,213,35.41,0.656,15,35.902,0.656,15,Pashalidou,
214,39,Pashalidou et al ,2015,Ecologica ,1.687,figure 1,temperate,Sinapis arvensis,herbaceous,annual,herbivore,Pieris brassicae,Lepidoptera,2,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Pieris brassicae,Lepidoptera,young,chewer,specialist,C,214,6.161,0.072,15,6.097,0.072,15,Pashalidou,
215,39,Pashalidou et al ,2015,Ecologica ,1.687,figure 1,temperate,Sinapis arvensis,herbaceous,annual,herbivore,Pieris brassicae,Lepidoptera,2,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,mass,herbivore,Pieris brassicae,Lepidoptera,young,chewer,specialist,C,215,431.25,1.271,15,414.583,8.583,15,Pashalidou,
216,39,Pashalidou et al ,2015,Ecologica ,1.687,figure 1,temperate,Sinapis arvensis,herbaceous,annual,herbivore,Pieris brassicae,Lepidoptera,2,young,chewer,specialist,JA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Pieris brassicae,Lepidoptera,young,chewer,specialist,C,216,30,0.164,15,30.492,0.164,15,Pashalidou,
217,40,Anderson et al,2011,Behavioral Ecology,3.029,figure 1,tropical,Gossypium hirsutum,herbaceous,annual,herbivore,Agriotes lineatus,Coleoptera,4,young,chewer,generalist,JA_JA,controlled,distant,roots,leaves,number of eggs,herbivore,Spodoptera littoralis,Lepidoptera,young,chewer,generalist,H,217,5.745,2.553,10,2.553,1.915,10,Anderson,
218,40,Anderson et al,2011,Behavioral Ecology,3.029,figure 1,tropical,Gossypium hirsutum,herbaceous,annual,herbivore,Agriotes lineatus,Coleoptera,4,young,chewer,generalist,JA_JA,controlled,distant,roots,leaves,number of eggs,herbivore,Spodoptera littoralis,Lepidoptera,young,chewer,generalist,H,218,6.638,2.553,10,3.149,1.447,10,Anderson,
219,40,Anderson et al,2011,Behavioral Ecology,3.029,figure 1,tropical,Gossypium hirsutum,herbaceous,annual,herbivore,Agriotes lineatus,Coleoptera,2,young,chewer,generalist,JA_JA,controlled,distant,roots,leaves,damage,herbivore,Spodoptera littoralis,Lepidoptera,young,chewer,generalist,H,219-220,90.175,4.561,16,50.175,11.93,16,Anderson,
220,40,Anderson et al,2011,Behavioral Ecology,3.029,figure 1,tropical,Gossypium hirsutum,herbaceous,annual,herbivore,spodoptera littoralis,Lepidoptera,2,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,damage,herbivore,Spodoptera littoralis,Lepidoptera,young,chewer,generalist,C,219-220,90.175,4.561,16,91.579,5.263,16,Anderson,
221,40,Anderson et al,2011,Behavioral Ecology,3.029,figure 1,tropical,Gossypium hirsutum,herbaceous,annual,herbivore,Agriotes lineatus,Coleoptera,2,young,chewer,generalist,JA_JA,controlled,distant,roots,leaves,damage,herbivore,Spodoptera littoralis,Lepidoptera,young,chewer,generalist,H,221-222,90.175,5.614,16,47.368,11.228,16,Anderson,
222,40,Anderson et al,2011,Behavioral Ecology,3.029,figure 1,tropical,Gossypium hirsutum,herbaceous,annual,herbivore,spodoptera littoralis,Lepidoptera,2,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,damage,herbivore,Spodoptera littoralis,Lepidoptera,young,chewer,generalist,C,221-222,90.175,5.614,16,89.825,7.018,16,Anderson,
223,40,Anderson et al,2011,Behavioral Ecology,3.029,figure 1,tropical,Gossypium hirsutum,herbaceous,annual,herbivore,Agriotes lineatus,Coleoptera,2,young,chewer,generalist,JA_JA,controlled,distant,roots,leaves,damage,herbivore,Spodoptera littoralis,Lepidoptera,young,chewer,generalist,H,223-224,89.825,4.211,16,46.667,9.123,16,Anderson,
224,40,Anderson et al,2011,Behavioral Ecology,3.029,figure 1,tropical,Gossypium hirsutum,herbaceous,annual,herbivore,Spodoptera littoralis,Lepidoptera,2,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,damage,herbivore,Spodoptera littoralis,Lepidoptera,young,chewer,generalist,C,223-224,89.825,4.211,16,84.912,8.07,16,Anderson,
225,41,Rodríguez-Saona et al ,2005,Oecologia,2.902,figure 1,tropical,Lycopersicon esculentum,herbaceous,annual,herbivore,Spodoptera exigua,Lepidoptera,2,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,eggs,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,C,225,8.571,2.429,4,1.857,0.857,4,Rodriguez-Saona,
226,41,Rodríguez-Saona et al ,2005,Oecologia,2.902,figure 1,tropical,Lycopersicon esculentum,herbaceous,annual,herbivore,Spodoptera exigua,Lepidoptera,2,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,eggs,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,C,226,390.698,102.326,4,74.419,10.419,4,Rodriguez-Saona,
227,41,Rodríguez-Saona et al ,2005,Oecologia,2.902,figure 1,tropical,Lycopersicon esculentum,herbaceous,annual,herbivore,Macrosiphum euphorbiae,Hemiptera,2,adult,piercing-sucking,generalist,SA_JA,controlled,local,leaves,leaves,eggs,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,H,227,3.571,1,4,9.571,2.143,4,Rodriguez-Saona,
228,41,Rodríguez-Saona et al ,2005,Oecologia,2.902,figure 1,tropical,Lycopersicon esculentum,herbaceous,annual,herbivore,Macrosiphum euphorbiae,Hemiptera,2,adult,piercing-sucking,generalist,SA_JA,controlled,local,leaves,leaves,eggs,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,H,228,190.698,27.907,4,339.535,74.419,4,Rodriguez-Saona,
229,41,Rodríguez-Saona et al ,2005,Oecologia,2.902,figure 2,tropical,Lycopersicon esculentum,herbaceous,annual,herbivore,Spodoptera exigua,Lepidoptera,2,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,weight,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,C,229-230,27.826,3.478,40,2.826,1.087,40,Rodriguez-Saona,
230,41,Rodríguez-Saona et al ,2005,Oecologia,2.902,figure 2,tropical,Lycopersicon esculentum,herbaceous,annual,herbivore,Macrosiphum euphorbiae,Hemiptera,2,adult,piercing-sucking,generalist,SA_JA,controlled,local,leaves,leaves,weight,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,H,229-230,27.826,3.478,40,36.739,3.504,40,Rodriguez-Saona,
231,41,Rodríguez-Saona et al ,2005,Oecologia,2.902,figure 2,tropical,Lycopersicon esculentum,herbaceous,annual,herbivore,Spodoptera exigua,Lepidoptera,2,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,consumption,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,C,231-232,47.532,1.558,40,49.87,2.078,40,Rodriguez-Saona,
232,41,Rodríguez-Saona et al ,2005,Oecologia,2.902,figure 2,tropical,Lycopersicon esculentum,herbaceous,annual,herbivore,Macrosiphum euphorbiae,Hemiptera,2,adult,piercing-sucking,generalist,SA_JA,controlled,local,leaves,leaves,consumption,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,H,231-232,47.532,1.558,40,45.455,1.558,40,Rodriguez-Saona,
233,41,Rodríguez-Saona et al ,2005,Oecologia,2.902,figure 2,tropical,Lycopersicon esculentum,herbaceous,annual,herbivore,Spodoptera exigua,Lepidoptera,2,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,C,233-234,13.797,0.506,40,22.025,1.139,40,Rodriguez-Saona,
234,41,Rodríguez-Saona et al ,2005,Oecologia,2.902,figure 2,tropical,Lycopersicon esculentum,herbaceous,annual,herbivore,Macrosiphum euphorbiae,Hemiptera,2,adult,piercing-sucking,generalist,SA_JA,controlled,local,leaves,leaves,developmental_time,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,H,233-234,13.797,0.506,40,13.165,0.284,40,Rodriguez-Saona,
235,41,Rodríguez-Saona et al ,2005,Oecologia,2.902,figure 2,tropical,Lycopersicon esculentum,herbaceous,annual,herbivore,Spodoptera exigua,Lepidoptera,2,young,chewer,generalist,JA_JA,controlled,local,leaves,leaves,mortality,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,C,235-236,16.379,0,40,75,0,40,Rodriguez-Saona,
236,41,Rodríguez-Saona et al ,2005,Oecologia,2.902,figure 2,tropical,Lycopersicon esculentum,herbaceous,annual,herbivore,Macrosiphum euphorbiae,Hemiptera,2,adult,piercing-sucking,generalist,SA_JA,controlled,local,leaves,leaves,mortality,herbivore,Spodoptera exigua,Lepidoptera,young,chewer,generalist,H,235-236,16.379,0,40,6.466,0,40,Rodriguez-Saona,
237,42,Van Zandt and Agrawal,2004,Ecology,4.733,figure 2,temperate,Asclepias syriaca,herbaceous,perennial,herbivore,Rhyssomatus lineaticollis,Coleoptera,6,adult,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Several species,NA,NA,chewer,specialist,NA,237-238-239-240,0.153,0.055,20,0.15,0.05,20,Van,
238,42,Van Zandt and Agrawal,2004,Ecology,4.733,figure 2,temperate,Asclepias syriaca,herbaceous,perennial,herbivore,Rhyssomatus lineaticollis,Coleoptera,6,adult,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Several species,NA,NA,chewer,specialist,NA,237-238-239-240,0.153,0.055,20,0.23,0.07,20,Van,
239,42,Van Zandt and Agrawal,2004,Ecology,4.733,figure 2,temperate,Asclepias syriaca,herbaceous,perennial,herbivore,Danaus plexippus,Lepidoptera,6,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Several species,NA,NA,chewer,specialist,NA,237-238-239-240,0.153,0.055,20,0.895,0.25,20,Van,
240,42,Van Zandt and Agrawal,2004,Ecology,4.733,figure 2,temperate,Asclepias syriaca,herbaceous,perennial,herbivore,Labidomera clivicollis,Coleoptera,6,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Several species,NA,NA,chewer,specialist,NA,237-238-239-240,0.153,0.055,20,0.295,0.08,20,Van,
241,42,Van Zandt and Agrawal,2004,Ecology,4.733,figure 2,temperate,Asclepias syriaca,herbaceous,perennial,herbivore,Rhyssomatus lineaticollis,Coleoptera,6,adult,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Several species,NA,NA,chewer,specialist,NA,241-242-243-244,0.055,0.01,20,0.13,0.03,20,Van,
242,42,Van Zandt and Agrawal,2004,Ecology,4.733,figure 2,temperate,Asclepias syriaca,herbaceous,perennial,herbivore,Rhyssomatus lineaticollis,Coleoptera,6,adult,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Several species,NA,NA,chewer,specialist,NA,241-242-243-244,0.055,0.01,20,0.22,0.04,20,Van,
243,42,Van Zandt and Agrawal,2004,Ecology,4.733,figure 2,temperate,Asclepias syriaca,herbaceous,perennial,herbivore,Danaus plexippus,Lepidoptera,6,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Several species,NA,NA,chewer,specialist,NA,241-242-243-244,0.055,0.01,20,0.04,0.005,20,Van,
244,42,Van Zandt and Agrawal,2004,Ecology,4.733,figure 2,temperate,Asclepias syriaca,herbaceous,perennial,herbivore,Labidomera clivicollis,Coleoptera,6,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Several species,NA,NA,chewer,specialist,NA,241-242-243-244,0.055,0.01,20,0.05,0.005,20,Van,
245,42,Van Zandt and Agrawal,2004,Ecology,4.733,figure 3,temperate,Asclepias syriaca,herbaceous,perennial,herbivore,Rhyssomatus lineaticollis,Coleoptera,6,adult,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Several species,NA,NA,chewer,specialist,NA,245-246-247-248,12.37,0.027,20,0.446,0.031,20,Van,
246,42,Van Zandt and Agrawal,2004,Ecology,4.733,figure 3,temperate,Asclepias syriaca,herbaceous,perennial,herbivore,Rhyssomatus lineaticollis,Coleoptera,6,adult,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Several species,NA,NA,chewer,specialist,NA,245-246-247-248,12.37,0.027,20,0.409,0.027,20,Van,
247,42,Van Zandt and Agrawal,2004,Ecology,4.733,figure 3,temperate,Asclepias syriaca,herbaceous,perennial,herbivore,Danaus plexippus,Lepidoptera,6,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Several species,NA,NA,chewer,specialist,NA,245-246-247-248,12.37,0.027,20,0.576,0.03,20,Van,
248,42,Van Zandt and Agrawal,2004,Ecology,4.733,figure 3,temperate,Asclepias syriaca,herbaceous,perennial,herbivore,Labidomera clivicollis,Coleoptera,6,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Several species,NA,NA,chewer,specialist,NA,245-246-247-248,12.37,0.027,20,0.587,0.031,20,Van,
249,42,Van Zandt and Agrawal,2004,Ecology,4.733,figure 3,temperate,Asclepias syriaca,herbaceous,perennial,herbivore,Rhyssomatus lineaticollis,Coleoptera,6,adult,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Several species,NA,NA,chewer,specialist,NA,249-250-251-252,0.526,0.007,20,0.54,0.01,20,Van,
250,42,Van Zandt and Agrawal,2004,Ecology,4.733,figure 3,temperate,Asclepias syriaca,herbaceous,perennial,herbivore,Rhyssomatus lineaticollis,Coleoptera,6,adult,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Several species,NA,NA,chewer,specialist,NA,249-250-251-252,0.526,0.007,20,0.497,0.007,20,Van,
251,42,Van Zandt and Agrawal,2004,Ecology,4.733,figure 3,temperate,Asclepias syriaca,herbaceous,perennial,herbivore,Danaus plexippus,Lepidoptera,6,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Several species,NA,NA,chewer,specialist,NA,249-250-251-252,0.526,0.007,20,0.474,0.009,20,Van,
252,42,Van Zandt and Agrawal,2004,Ecology,4.733,figure 3,temperate,Asclepias syriaca,herbaceous,perennial,herbivore,Labidomera clivicollis,Coleoptera,6,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Several species,NA,NA,chewer,specialist,NA,249-250-251-252,0.526,0.007,20,0.499,0.01,20,Van,
253,43,Maron,1998,Ecology,4.733,figure 3,temperate,Lupinus arboreus,woody,perennial,herbivore,Eupithecia spp,Lepidoptera,24,young,chewer,generalist,JA_JA,field,distant,leaves,seeds,damage,herbivore,two species,NA,young,chewer,generalist,H,253-254,0.206,0.085,7,0.503,0.068,7,Maron,
254,43,Maron,1998,Ecology,4.733,figure 3,temperate,Lupinus arboreus,woody,perennial,herbivore,Hepialus californicus,Lepidoptera,24,young,chewer,specialist,JA_JA,field,distant,roots,seeds,damage,herbivore,two species,NA,young,chewer,generalist,H,253-254,0.206,0.085,7,0.202,0.045,7,Maron,
255,43,Maron,1998,Ecology,4.733,figure 3,temperate,Lupinus arboreus,woody,perennial,herbivore,Eupithecia spp,Lepidoptera,24,young,chewer,generalist,JA_JA,field,distant,leaves,seeds,damage,herbivore,two species,NA,young,chewer,generalist,H,255-256,0.276,0.07,7,0.311,0.052,7,Maron,
256,43,Maron,1998,Ecology,4.733,figure 3,temperate,Lupinus arboreus,woody,perennial,herbivore,Hepialus californicus,Lepidoptera,24,young,chewer,specialist,JA_JA,field,distant,roots,seeds,damage,herbivore,two species,NA,young,chewer,generalist,H,255-256,0.276,0.07,7,0.202,0.035,6,Maron,
257,44,Kaplan et al ,2009,Ecological Entomology,1.687,figure 1,tropical,Nicotiana tabacum,herbaceous,perennial,herbivore,several species,NA,4,adult,chewer,NA,JA_JA,field,distant,leaves,roots,abundance,nematode,Tylenchorhynchus,Tylenchida,NA,NA,generalist,H,257,44.805,8.442,36,65.584,6.494,44,Kaplan,
258,44,Kaplan et al ,2009,Ecological Entomology,1.687,figure 1,tropical,Nicotiana tabacum,herbaceous,perennial,herbivore,several species,NA,4,adult,chewer,NA,JA_JA,field,distant,leaves,roots,abundance,nematode,Pratylenchus,Tylenchida,NA,NA,generalist,H,258,27.273,3.896,36,40.909,6.494,44,Kaplan,
259,44,Kaplan et al ,2009,Ecological Entomology,1.687,figure 1,tropical,Nicotiana tabacum,herbaceous,perennial,herbivore,several species,NA,4,adult,chewer,NA,JA_JA,field,distant,leaves,roots,abundance,nematode,Xiphinema,Dorylaimida,NA,NA,generalist,H,259,16.883,4.545,36,22.727,11.039,44,Kaplan,
260,44,Kaplan et al ,2009,Ecological Entomology,1.687,figure 1,tropical,Nicotiana tabacum,herbaceous,perennial,herbivore,Myzus persicae,Hemiptera,8,adult,piercing-sucking,generalist,SA_JA,field,distant,leaves,roots,abundance,nematode,Tylenchorhynchus,Tylenchida,NA,NA,generalist,H,260,175,26.923,20,136.538,16.346,20,Kaplan,
261,44,Kaplan et al ,2009,Ecological Entomology,1.687,figure 1,tropical,Nicotiana tabacum,herbaceous,perennial,herbivore,Myzus persicae,Hemiptera,8,adult,piercing-sucking,generalist,SA_JA,field,distant,leaves,roots,abundance,nematode,Pratylenchus,Tylenchida,NA,NA,generalist,H,261,10.577,3.471,20,14.423,0.962,20,Kaplan,
262,44,Kaplan et al ,2009,Ecological Entomology,1.687,figure 2,tropical,Nicotiana tabacum,herbaceous,perennial,herbivore,Manduca sexta,Lepidoptera,12,young,chewer,specialist,JA_JA,field,distant,leaves,roots,growth,nematode,Tylenchorhynchus,Tylenchida,NA,NA,generalist,H,262,0.77,0.14,14,0.84,0.165,14,Kaplan,
263,44,Kaplan et al ,2009,Ecological Entomology,1.687,figure 2,tropical,Nicotiana tabacum,herbaceous,perennial,herbivore,Manduca sexta,Lepidoptera,12,young,chewer,specialist,JA_JA,field,distant,leaves,roots,growth,nematode,Tylenchorhynchus,Tylenchida,NA,NA,generalist,H,263,0.233,0.046,15,0.367,0.076,15,Kaplan,
264,44,Kaplan et al ,2009,Ecological Entomology,1.687,figure 2,tropical,Nicotiana tabacum,herbaceous,perennial,herbivore,Manduca sexta,Lepidoptera,12,young,chewer,specialist,JA_JA,field,distant,leaves,roots,growth,nematode,Helicotylenchus,Tylenchida,NA,NA,generalist,H,264,0.424,0.036,14,0.585,0.101,14,Kaplan,
265,44,Kaplan et al ,2009,Ecological Entomology,1.687,figure 2,tropical,Nicotiana tabacum,herbaceous,perennial,herbivore,Manduca sexta,Lepidoptera,12,young,chewer,specialist,JA_JA,field,distant,leaves,roots,growth,nematode,Helicotylenchus,Tylenchida,NA,NA,generalist,H,265,0.379,0.093,15,0.545,0.072,15,Kaplan,
266,44,Kaplan et al ,2009,Ecological Entomology,1.687,figure 2,tropical,Nicotiana tabacum,herbaceous,perennial,herbivore,Myzus persicae,Hemiptera,12,adult,piercing-sucking,generalist,SA_JA,field,distant,leaves,roots,growth,nematode,Tylenchorhynchus,Tylenchida,NA,NA,generalist,H,266,0.81,0.156,14,1.008,0.177,14,Kaplan,
267,44,Kaplan et al ,2009,Ecological Entomology,1.687,figure 2,tropical,Nicotiana tabacum,herbaceous,perennial,herbivore,Myzus persicae,Hemiptera,12,adult,piercing-sucking,generalist,SA_JA,field,distant,leaves,roots,growth,nematode,Tylenchorhynchus,Tylenchida,NA,NA,generalist,H,267,0.236,0.057,15,0.339,0.055,15,Kaplan,
268,44,Kaplan et al ,2009,Ecological Entomology,1.687,figure 2,tropical,Nicotiana tabacum,herbaceous,perennial,herbivore,Myzus persicae,Hemiptera,12,adult,piercing-sucking,generalist,SA_JA,field,distant,leaves,roots,growth,nematode,Helicotylenchus,Tylenchida,NA,NA,generalist,H,268,0.424,0.039,14,0.481,0.069,14,Kaplan,
269,44,Kaplan et al ,2009,Ecological Entomology,1.687,figure 2,tropical,Nicotiana tabacum,herbaceous,perennial,herbivore,Myzus persicae,Hemiptera,12,adult,piercing-sucking,generalist,SA_JA,field,distant,leaves,roots,growth,nematode,Helicotylenchus,Tylenchida,NA,NA,generalist,H,269,0.392,0.093,15,0.372,0.077,15,Kaplan,
270,44,Kaplan et al ,2009,Ecological Entomology,1.687,figure 3,tropical,Nicotiana tabacum,herbaceous,perennial,nematode,Meloidogyne incognita,Tylenchida,8,NA,NA,generalist,JA_JA,field,distant,roots,leaves,abundance,herbivore,Manduca sexta,Lepidoptera,young,chewer,specialist,H,270,3.057,0.171,75,3.371,0.257,75,Kaplan,
271,44,Kaplan et al ,2009,Ecological Entomology,1.687,figure 3,tropical,Nicotiana tabacum,herbaceous,perennial,nematode,Meloidogyne incognita,Tylenchida,4,NA,NA,generalist,JA_SA,field,distant,roots,leaves,abundance,herbivore,Myzus persicae,Hemiptera,adult,piercing-sucking,generalist,H,271,4.353,1.216,75,2.667,1.098,75,Kaplan,
272,44,Kaplan et al ,2009,Ecological Entomology,1.687,figure 3,tropical,Nicotiana tabacum,herbaceous,perennial,nematode,Meloidogyne incognita,Tylenchida,8,NA,NA,generalist,JA_SA,field,distant,roots,leaves,abundance,herbivore,Myzus persicae,Hemiptera,adult,piercing-sucking,generalist,H,272,587.5,112.5,75,593.75,137.5,75,Kaplan,
273,45,Johnson et al ,2013,Journal of Animal Ecology,4.827,figure 4,temperate,Ribes nigrum,woody,perennial,herbivore,Otiorhynchus sulcatus,Coleoptera,3,young,chewer,specialist,JA_SA,controlled,distant,roots,leaves,abundance,herbivore,Cryptomyzus galeopsidis,Hemiptera,adult,piercing-sucking,specialist,H,273,8.953,3.14,12,17.326,3.256,12,Johnson,
274,45,Johnson et al ,2013,Journal of Animal Ecology,4.827,figure 4,temperate,Ribes nigrum,woody,perennial,herbivore,Otiorhynchus sulcatus,Coleoptera,3,young,chewer,specialist,JA_JA,controlled,distant,roots,leaves,growth,herbivore,Nematus olfaciens,Hymenoptera,young,chewer,specialist,H,274,4.482,0.241,12,3.663,0.217,12,Johnson,
275,46,Harrison and Karban,1986,Oecologia,2.902,table 1,temperate,Lupinus arboreus,woody,perennial,herbivore,Platyprepia virginalis,Lepidoptera,19,young,chewer,generalist,JA_JA,field,local,leaves,leaves,weight,herbivore,Orgyia vetusta,Lepidoptera,young,chewer,generalist,H,275,0.593,0.033,15,0.445,0.031,13,Harrison,
276,46,Harrison and Karban,1986,Oecologia,2.902,table 1,temperate,Lupinus arboreus,woody,perennial,herbivore,Platyprepia virginalis,Lepidoptera,19,young,chewer,generalist,JA_JA,field,local,leaves,leaves,weight,herbivore,Orgyia vetusta,Lepidoptera,young,chewer,generalist,H,276,0.156,0.007,14,0.154,0.005,11,Harrison,
277,46,Harrison and Karban,1986,Oecologia,2.902,table 1,temperate,Lupinus arboreus,woody,perennial,herbivore,Platyprepia virginalis,Lepidoptera,19,young,chewer,generalist,JA_JA,field,local,leaves,leaves,number of eggs,herbivore,Orgyia vetusta,Lepidoptera,young,chewer,generalist,H,277,221.63,13.04,19,115.53,11.9,13,Harrison,
278,46,Harrison and Karban,1986,Oecologia,2.902,table 2,temperate,Lupinus arboreus,woody,perennial,herbivore,Platyprepia virginalis,Lepidoptera,19,young,chewer,generalist,JA_JA,field,local,leaves,leaves,developmental_time,herbivore,Orgyia vetusta,Lepidoptera,young,chewer,generalist,H,278,46.07,1.75,15,52.06,3.29,13,Harrison,
279,46,Harrison and Karban,1986,Oecologia,2.902,table 2,temperate,Lupinus arboreus,woody,perennial,herbivore,Platyprepia virginalis,Lepidoptera,19,young,chewer,generalist,JA_JA,field,local,leaves,leaves,developmental_time,herbivore,Orgyia vetusta,Lepidoptera,young,chewer,generalist,H,279,43.74,2.04,14,47.57,2.61,11,Harrison,
280,46,Harrison and Karban,1986,Oecologia,2.902,table 3,temperate,Lupinus arboreus,woody,perennial,herbivore,Platyprepia virginalis,Lepidoptera,19,young,chewer,generalist,JA_JA,field,local,leaves,leaves,damage,herbivore,Orgyia vetusta,Lepidoptera,young,chewer,generalist,H,280,4.31,0.42,26,4.33,0.51,18,Harrison,
281,46,Harrison and Karban,1986,Oecologia,2.902,table 3,temperate,Lupinus arboreus,woody,perennial,herbivore,Platyprepia virginalis,Lepidoptera,19,young,chewer,generalist,JA_JA,field,local,leaves,leaves,damage,herbivore,Orgyia vetusta,Lepidoptera,young,chewer,generalist,H,281,4.12,0.52,17,4.72,0.67,13,Harrison,
282,47,González-Megias and Muller,2010,Journal of Animal Ecology,4.827,figure 1,temperate,Moricandia moricandioides,herbaceous,annual,herbivore,Cebrio gypsicola,Coleoptera,12,young,chewer,generalist,JA_JA,field,distant,roots,leaves,abundance,herbivore,leafhoppers,Hemiptera,adult,chewer,NA,H,282,6,1.556,15,5.111,1.444,15,Gonzalez-Megias,
