Case ID,Study ID,Authors,Year,Journal,Journal IF,Source of data,Biome,Plant species,Plant type,Duration,Inductor organism,Inductor species,Inductor order,Weeks after induction,Herbivore stage inductor,Herbivore guild inductor,Herbivore specialization inductor,Pathway,Type of study,Type of interaction,Tissue induced,Tissue consumed,Insect response type,Organism,Herbivore species,Order,Herbivore stage,Herbivore guild,Herbivore specialization,Consp.heterosp,Mult.comp,M.control,SD.control,N.control,M.treatment,SD.treatment,N.treatment,Author,notes
17,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Plutella xylostella,Lepidoptera,adult,chewer,specialist,H,17,0.031,0.558,10,0.02,0.366,10,Poelman,
18,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_SA,field,local,leaves,leaves,abundance,herbivore,Brevicoryne brassicae,Hemiptera,adult,piercing-sucking,specialist,H,18,0.082,1.481,10,0.125,2.275,10,Poelman,
19,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Phyllotreta atra,Coleoptera,adult,chewer,specialist,H,19,0.011,0.193,10,0.014,0.258,10,Poelman,
20,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Phyllotreta undulata,Coleoptera,adult,chewer,specialist,H,20,0.024,0.43,10,0.046,0.837,10,Poelman,
21,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Mamestra brassicae,Lepidoptera,adult,chewer,generalist,H,21,0.013,0.236,10,0.008,0.15,10,Poelman,
22,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Autographa gamma,Lepidoptera,adult,chewer,generalist,H,22,0.009,0.163,10,0.006,0.11,10,Poelman,
23,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_SA,field,local,leaves,leaves,abundance,herbivore,Myzus persicae,Hemiptera,adult,piercing-sucking,generalist,H,23,0.065,1.182,10,0.07,1.268,10,Poelman,
24,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_SA,field,local,leaves,leaves,abundance,herbivore,other aphids,Hemiptera,adult,piercing-sucking,generalist,H,24,0.005,0.086,10,0.002,0.043,10,Poelman,
25,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Pieris rapae,Lepidoptera,adult,chewer,specialist,C,25,0.752,0.021,10,0.773,0.089,10,Poelman,
26,3,Poelman et al,2010,Ecological Entomology,1.687,figure 2,temperate,Brassica oleracea,herbaceous,perennial,herbivore,Pieris rapae,Lepidoptera,15,young,chewer,specialist,JA_JA,field,local,leaves,leaves,abundance,herbivore,Pieris brassicae,Lepidoptera,adult,chewer,specialist,H,26,0.215,0.236,10,0.064,0.11,10,Poelman,
